25,16,35,-9,-6,23,12,51,15,-4,43,-2,25,40,-31,9,10,10,8,14,26,15,-38,28,2,-31,-10,10,2,-2,-1,25,8,-8,4,37,-8,48,0,26,-1,-38,32,-5,-2,29,11,6,18,11,13,23,31,31,11,4,30,14,18,-7,-12,-27,1,-25,5,17,29,7,8,24,-13,-7,46,-27,-3,33,5,0,46,13,12,-32,2,-1,-13,29,7,-34,9,-7,-19,20,-10,-3,-32,9,5,-11,-7,11,-31,3,13,-6,-10,7,-23,-33,13,36,5,3,30,8,4,49,-23,-5,-15,-2,13,22,11,-31,-2,-19,7,1,
28,-9,63,16,-8,18,11,25,-15,-15,-18,-49,10,5,-36,7,-1,-4,15,2,44,19,25,-1,20,30,-4,5,-3,-15,9,-7,-2,3,31,-2,-29,-26,12,13,-62,-28,-15,1,3,-24,-1,0,39,-15,14,30,29,4,7,18,-15,3,18,-27,14,25,-4,8,37,-6,-23,-13,-23,24,37,10,14,-27,0,1,-9,-12,-8,8,-19,-37,20,31,2,25,-6,-24,-29,-43,-15,15,-20,13,17,-33,26,-6,37,14,-8,28,7,-26,-37,41,10,14,56,17,-3,-6,7,-7,-5,-17,-9,-19,24,20,-32,-3,14,20,11,17,58,2,
-1,37,22,0,41,-14,-9,11,-14,-17,13,15,11,26,10,8,-34,26,13,-32,36,-9,-19,0,5,24,-11,-41,36,25,7,47,26,17,58,9,53,18,-25,28,-13,-9,-35,-14,2,30,-8,4,-3,12,14,12,-37,61,7,-13,-2,8,22,1,13,43,-15,-41,40,23,-14,19,13,26,30,-13,19,2,32,40,18,-8,19,23,-12,-10,-10,18,34,14,26,-15,-9,19,18,-10,-21,-15,-17,14,11,0,25,28,-20,5,2,-2,-37,-18,13,9,7,-7,5,-26,-5,6,-15,-28,-14,16,5,-1,-6,9,-7,3,11,-21,8,8,
16,0,1,6,48,-17,-32,41,-12,-1,-22,5,-5,15,41,3,-2,11,3,-2,18,41,7,-5,-14,21,-2,24,-9,-13,32,16,-17,22,31,-21,-10,2,30,59,-14,1,-5,43,-19,-15,9,-10,9,14,-20,3,-8,24,22,-2,-14,22,-8,-27,-16,-15,-5,10,57,2,2,-8,24,3,-21,-11,10,-12,2,6,6,-26,-12,28,-35,-13,58,24,8,27,34,6,26,-18,-33,-44,4,-5,8,33,-5,22,-6,-36,7,2,13,3,5,-6,13,34,7,6,-62,14,-38,41,61,2,-52,-13,-13,-42,20,-7,-24,-24,48,6,-37,-8,
38,22,-10,14,-27,-26,-9,21,15,-33,-10,2,73,-21,5,9,-30,64,-22,26,17,31,-18,-18,-12,42,-10,30,13,-10,16,47,17,-8,19,15,-23,1,-17,4,31,-14,25,12,19,12,-22,34,-2,14,9,-3,5,-29,11,27,55,-7,30,12,1,21,26,-3,-7,-9,-15,9,-6,-2,22,5,-3,5,-47,-3,-24,13,30,-35,-28,-20,-18,18,-9,20,7,-45,5,21,-8,35,9,-1,-10,-31,-6,-13,-26,29,-13,-2,8,-18,-2,45,-21,-2,-12,-11,9,2,2,11,1,-37,-18,-23,1,-8,-31,-16,10,-32,21,-4,14,-6,
-4,1,2,-9,20,-4,1,-12,14,-4,13,19,8,10,19,21,36,16,6,5,-11,21,22,-2,-1,30,5,-6,14,14,1,14,14,17,-8,2,11,27,7,-13,-13,44,18,42,4,-21,1,15,6,2,0,3,36,43,-2,20,-8,10,-20,6,-23,-2,-12,-3,8,-49,17,-28,22,44,-12,-7,16,5,4,11,-26,22,-23,9,11,0,-22,-12,28,-42,5,45,-25,0,-31,-35,24,-2,41,-30,7,-24,-38,-24,31,-29,23,36,-17,56,25,26,13,27,18,-16,-11,16,31,37,30,-3,12,-8,1,17,-19,6,3,22,0,-26,
49,13,0,7,18,-30,12,10,0,-1,-29,-27,-11,19,9,12,6,0,17,-25,21,29,20,10,47,-10,2,29,46,-17,21,31,15,34,-12,-9,-4,-27,8,21,25,14,-16,-4,-11,-27,-22,0,-3,-3,1,13,14,16,8,-17,11,-7,55,35,18,5,23,6,7,30,21,-12,7,0,-4,23,1,-5,-2,-1,10,-15,-8,12,-40,29,7,11,17,71,-4,49,8,22,12,49,-22,-14,-52,-14,-15,-8,25,36,22,-30,6,-2,-29,-6,-19,-18,-1,-7,6,-10,-19,18,-11,14,-21,-44,13,-11,22,-11,-21,20,-2,21,-5,-4,
9,59,23,-10,-9,28,35,14,-1,9,18,89,-14,10,2,5,-1,45,15,27,-17,-16,26,-23,3,12,22,-36,-2,44,15,-7,42,-8,21,-3,-18,21,-43,13,20,33,-13,-14,18,13,14,-1,45,-1,16,7,-20,-11,22,16,8,-18,16,-2,-5,45,12,23,-15,23,-18,54,-10,6,20,-8,-15,-12,54,-2,-24,-15,-20,2,-36,-17,-20,13,-14,-30,25,-41,-5,-6,-42,29,-35,-5,13,20,3,-14,10,-8,25,-8,25,-16,-28,0,2,-15,-11,-8,-22,16,7,9,8,5,-33,-9,-19,-16,-16,22,-2,-11,-5,13,5,12,
16,10,-4,39,15,-26,22,-12,-14,10,28,8,47,35,12,5,-20,22,-5,33,-3,3,-26,-10,11,-7,-20,43,18,-45,5,35,63,29,-4,5,6,-11,-17,-37,-31,25,-22,-25,24,23,-8,-31,16,22,17,-31,-5,14,40,9,21,-2,-10,32,-3,-11,-6,4,-3,-29,43,28,20,26,-5,-18,8,-24,-11,30,4,-9,-17,-26,2,4,-42,12,12,55,-14,-10,-28,-30,-41,-29,16,-10,22,32,36,20,3,-43,28,-37,8,7,-1,2,-36,-5,-36,6,-8,-6,4,10,-3,10,-35,26,-16,9,14,-32,-8,44,12,11,3,-13,
-22,12,-52,24,18,40,-6,37,22,-15,-38,7,-4,26,28,48,-3,24,-27,-15,7,-6,-2,14,-20,5,-14,24,5,2,-15,35,5,0,-2,-7,-25,-11,11,-23,18,-5,10,33,28,-37,13,15,21,-4,-12,36,28,12,47,-12,1,-21,1,30,24,4,-8,-18,9,10,1,-10,-3,23,-34,48,-40,-2,-21,-28,15,-13,38,0,17,45,10,31,42,-10,1,-38,-13,-34,9,8,7,15,-28,-23,36,-12,52,15,-13,26,-1,16,26,13,24,9,-37,-5,10,-5,2,-18,5,3,24,18,1,-20,10,-31,-2,-19,-37,-55,28,43,
